"Latest: Time (s)","Latest: Temperature (°C)"
122.5,34.4575459161
123,34.532468745
123.5,34.6344321142
124,34.7169606956
124.5,34.7845231942
125,34.8896910985
125.5,34.9784001411
126,35.0897506955
126.5,35.2268183672
127,35.3806365165
127.5,35.5165206469
128,35.6782730529
128.5,35.8144985111
129,35.9326896705
129.5,36.0282403878
130,36.1314643879
130.5,36.2074245111
131,36.2834360481
131.5,36.3229825034
132,36.3610212113
132.5,36.3853728364
133,36.4036400747
133.5,36.4142973593
134,36.4340921925
134.5,36.4340921925
135,36.4356150193
135.5,36.4615063003
136,36.55446067
136.5,36.6749622322
137,36.7971264479
137.5,36.9026053902
138,36.9944116732
138.5,37.0694463182
139,37.1322718413
139.5,37.1751988999
140,37.2350198374
140.5,37.2611064889
141,37.3117641871
141.5,37.359374545
142,37.4392870195
142.5,37.5946820827
143,37.7796237808
143.5,37.9401867662
144,38.1103007621
144.5,38.1815281743
145,38.2094141509
145.5,38.2109636098
146,38.1799791911
146.5,38.1505532549
147,38.1242324143
147.5,38.1010141118
148,38.0638764351
148.5,38.0282995273
149,37.9880978495
149.5,37.926281501
150,37.9015659097
150.5,37.8722242411
151,37.8552409679
151.5,37.8521534153
152,37.8536971795
152.5,37.9015659097
153,38.0051042225
153.5,38.0267530012
154,38.0453129409
154.5,38.0839909055
155,38.1319730912
155.5,38.1768812996
156,38.2249098679
156.5,38.2466080893
157,38.2528084861
157.5,38.257459048
158,38.2543586482
158.5,38.2466080893
159,38.2326586674
159.5,38.2047659248
160,38.1799791911
160.5,38.1722346498
161,38.1660394664
161.5,38.1737835081
162,38.2047659248
162.5,38.2419580557
163,38.2605595484
163.5,38.2977734193
164,38.325693372
164.5,38.3706927933
165,38.4157136104
165.5,38.4529884613
166,38.4980486102
166.5,38.5384657656
167,38.5711231375
167.5,38.6193525336
168,38.6442549037
168.5,38.6753922585
169,38.6987521394
169.5,38.7221179182
170,38.7439313108
170.5,38.7688672197
171,38.7969281902
171.5,38.8187593123
172,38.840595628
172.5,38.8702389532
173,38.8952092062
173.5,38.9170637799
174,38.9389235932
174.5,38.9592266917
175,38.9685988816
175.5,38.9967212552
176,39.0170372821
176.5,39.0311048935
177,39.0420478812
177.5,39.0514286391
178,39.0764487574
178.5,39.0952184004
179,39.1171212607
179.5,39.1327694258
180,39.1437247625
180.5,39.1625084499
181,39.1719017686
181.5,39.1922573371
182,39.2141838961
182.5,39.2204496149
183,39.2423830922
183.5,39.2517848042
184,39.2674565275
184.5,39.2799958914
185,39.2925370221
185.5,39.2988082505
186,39.3129201325
186.5,39.3254659101
187,39.3348764072
187.5,39.3395820302
188,39.3317394639
188.5,39.3191927997
189,39.3066479083
189.5,39.2941047877
190,39.2831310084
190.5,39.2846986083
191,39.2846986083
191.5,39.2831310084
192,39.290969284
192.5,39.295672581
193,39.3113520349
193.5,39.3160564107
194,39.3223292995
194.5,39.3395820302
195,39.3458565827
195.5,39.3693901131
196,39.4180459277
196.5,39.5170099527
197,39.6223801638
197.5,39.7105486879
198,39.7546666083
198.5,39.7830400322
199,39.8066916881
199.5,39.8129998938
200,39.8193085621
200.5,39.8177313517
201,39.8193085621
201.5,39.8193085621
202,39.8193085621
202.5,39.8208858015
203,39.824040367
203.5,39.8256176932
204,39.8271950483
204.5,39.8335047582
205,39.8382373447
205.5,39.842970192
206,39.8997847365
206.5,40.0419866382
207,40.2240369461
207.5,40.3493266238
208,40.4318986929
208.5,40.5066019913
209,40.5368203913
209.5,40.5750068607
210,40.6052504049
210.5,40.6291347659
211,40.6418759394
211.5,40.6546190967
212,40.6546190967
212.5,40.656212131
213,40.66099142
213.5,40.6625845784
214,40.6641777678
214.5,40.6673642399
215,40.6705508362
215.5,40.672144181
216,40.6737375568
216.5,40.6753309637
217,40.6769244017
217.5,40.6705508362
218,40.6673642399
218.5,40.6657709883
219,40.6896730251
219.5,40.7311198161
220,40.7933296027
220.5,40.8795450894
221,40.9626545125
221.5,41.0810741144
222,41.2413804581
222.5,41.3248681301
223,41.3843267409
223.5,41.4454392642
224,41.4711851337
224.5,41.4905001053
225,41.5227023549
225.5,41.5371977099
226,41.5500847365
226.5,41.5565290505
227,41.5597514077
227.5,41.5726421728
228,41.5710307102
228.5,41.5533068267
229,41.5678078853
229.5,41.5871468407
230,41.5758651982
230.5,41.5484737415
231,41.5065995675
231.5,41.4679664362
232,41.4357867479
232.5,41.3955807315
233,41.3827191597
233.5,41.36825241
234,41.3650379385
234.5,41.3521813674
235,41.3457538702
235.5,41.344147078
236,41.3570023352
236.5,41.3955807315
237,41.4438304288
237.5,41.4711851337
238,41.5049894718
238.5,41.5355869817
239,41.5484737415
239.5,41.5806999872
240,41.6516448712
240.5,41.7113534601
241,41.7694927113
241.5,41.8195923197
242,41.8761957724
242.5,41.9053224407
243,41.9376984481
243.5,41.9603698401
244,41.9765678271
244.5,41.9927692653
245,42.0138363019
245.5,42.0300456948
246,42.0495015415
246.5,42.0640967062
247,42.0884282375
247.5,42.1078991022
248,42.1143905059
248.5,42.1225055455
249,42.1289982056
249.5,42.1354914244
250,42.1403617055
250.5,42.1419852025
251,42.1419852025
251.5,42.1436087344
252,42.1436087344
252.5,42.1484795399
253,42.1501032117
253.5,42.1533506602
254,42.1598459773
254.5,42.1663418546
255,42.1679659114
255.5,42.1695900033
256,42.1695900033
256.5,42.1842084078
257,42.1972049304
257.5,42.2199542538
258,42.2410847989
258.5,42.2605952023
259,42.2719786171
259.5,42.2931238373
260,42.2980043523
260.5,42.3126478086
261,42.3338045353
261.5,42.3500830212
262,42.3582235965
262.5,42.3745074143
263,42.3761359918
263.5,42.3859082048
264,42.3973107413
