"Latest: Time (s)","Latest: Temperature (°C)"
69.5,18.8237036652
70,18.7465848475
70.5,18.6768470743
71,18.6026218612
71.5,18.5550980016
72,18.5209306419
72.5,18.4852691456
73,18.4614899123
73.5,18.4570308679
74,18.4585172314
74.5,18.4659488181
75,18.4748662148
75.5,18.4793247058
76,18.4793247058
76.5,18.4778385574
77,18.4718938107
77.5,18.4629762296
78,18.4629762296
78.5,18.4644625315
79,18.4689213451
79.5,18.4674350893
80,18.4674350893
80.5,18.4674350893
81,18.4704075856
81.5,18.4674350893
82,18.4704075856
82.5,18.4748662148
83,18.4778385574
83.5,18.4822969564
84,18.4897273146
84.5,18.4941853456
85,18.5016150913
85.5,18.5075586125
86,18.5194449219
86.5,18.5283590134
87,18.5313302553
87.5,18.540243616
88,18.5461855525
88.5,18.5536126313
89,18.5550980016
89.5,18.5565833566
90,18.5625246254
90.5,18.5773767374
91,18.5848022264
91.5,18.5937123152
92,18.5996520728
92.5,18.6055915894
93,18.6100460689
93.5,18.614500413
94,18.6263780032
94.5,18.6412236413
95,18.648645899
95.5,18.6560677831
96,18.6664577938
96.5,18.6738787829
97,18.6783311977
97.5,18.6961395188
98,18.7139457036
98.5,18.7243316607
99,18.7421344754
99.5,18.7436179475
100,18.7569685341
100.5,18.7718011234
101,18.7881152788
101.5,18.804427665
102,18.8222209833
102.5,18.8355645975
103,18.8385296854
103.5,18.8548366326
104,18.8681773782
104.5,18.8874452805
105,18.9052288779
105.5,18.9200469638
106,18.928937128
106.5,18.9393083359
107,18.9526417189
107.5,18.9600486553
108,18.9704177691
108.5,18.9793050272
109,18.9926349575
109.5,19.0074446474
110,19.0089255387
110.5,19.0178105904
111,19.0252144127
111.5,19.0326178831
112,19.0444627053
112.5,19.0503847796
113,19.0548261882
113.5,19.0651889849
114,19.0829521862
114.5,19.0933131264
115,19.0992333574
115.5,19.1110731524
116,19.1199524158
116.5,19.1229120595
117,19.1303109262
117.5,19.13918911
118,19.1465872167
118.5,19.1510259152
119,19.1569439869
119.5,19.1628618383
120,19.1702588431
120.5,19.1791347955
121,19.1894894492
121.5,19.1983643325
122,19.2072387236
122.5,19.1983643325
123,19.1761761996
123.5,19.1732175488
124,19.1761761996
124.5,19.1909686306
125,19.2101967446
125.5,19.2175915586
126,19.2338589505
126.5,19.2486460611
127,19.2678672784
127.5,19.2885644968
128,19.3018684569
128.5,19.3077809785
129,19.3107371588
129.5,19.3092590754
130,19.3136932854
130.5,19.3255172556
131,19.3284731142
131.5,19.340296014
132,19.3432516054
132.5,19.353595755
133,19.3550734374
133.5,19.3580287621
134,19.3580287621
134.5,19.3580287621
135,19.3595064046
135.5,19.3609840337
136,19.3668944171
136.5,19.363939252
137,19.3728045879
137.5,19.3698495291
138,19.3683719798
138.5,19.3713270652
139,19.3683719798
139.5,19.363939252
140,19.3595064046
140.5,19.3565511064
141,19.3580287621
141.5,19.3550734374
142,19.3565511064
142.5,19.3609840337
143,19.3609840337
143.5,19.3565511064
144,19.344729381
144.5,19.334384671
145,19.3166493583
145.5,19.3122152288
146,19.3077809785
146.5,19.3003902929
147,19.2885644968
147.5,19.2841296011
148,19.2708241859
148.5,19.2634318159
149,19.2560391078
149.5,19.2501246976
150,19.2427313798
150.5,19.2427313798
151,19.2382952262
151.5,19.2382952262
152,19.2382952262
152.5,19.2397739577
153,19.2382952262
153.5,19.2382952262
154,19.2397739577
154.5,19.2412526755
155,19.2412526755
155.5,19.2427313798
156,19.2456887476
156.5,19.2516033205
157,19.2619533014
157.5,19.2678672784
158,19.2752594457
158.5,19.2885644968
159,19.2929992712
159.5,19.3048247446
160,19.3107371588
160.5,19.3240393062
161,19.3476848923
161.5,19.3742820974
162,19.4008750021
162.5,19.415646987
163,19.4289406466
163.5,19.4525711909
164,19.4658618979
164.5,19.4776749712
165,19.4821046585
165.5,19.4909636814
166,19.4880107258
166.5,19.4865342285
167,19.4791515467
167.5,19.4776749712
168,19.4732451666
168.5,19.4688152446
169,19.4614317799
169.5,19.4555247729
170,19.4525711909
170.5,19.4437101304
171,19.4363255526
171.5,19.4333716296
172,19.4274636259
172.5,19.4200783254
173,19.4097383514
173.5,19.4008750021
174,19.3949658384
174.5,19.3787145463
175,19.3713270652
175.5,19.3609840337
176,19.3521180593
176.5,19.344729381
177,19.340296014
177.5,19.334384671
178,19.3314289194
178.5,19.3299510235
179,19.3255172556
179.5,19.3210833672
180,19.3166493583
180.5,19.3151713286
181,19.3151713286
181.5,19.3151713286
182,19.3122152288
182.5,19.3136932854
183,19.3136932854
183.5,19.3107371588
184,19.3136932854
184.5,19.3107371588
185,19.3107371588
185.5,19.3136932854
186,19.3151713286
186.5,19.3181273747
187,19.3181273747
187.5,19.3210833672
188,19.3358625268
188.5,19.3521180593
189,19.3668944171
189.5,19.3905338267
190,19.4008750021
190.5,19.4038295047
191,19.4126926956
191.5,19.4200783254
192,19.4245095452
192.5,19.4274636259
193,19.4304176541
193.5,19.4333716296
194,19.4407563386
194.5,19.4466638696
195,19.4540479884
195.5,19.462908499
196,19.4688152446
196.5,19.4747217812
197,19.4761983827
197.5,19.4806281091
198,19.4850577182
198.5,19.4806281091
199,19.4821046585
199.5,19.4953930171
200,19.5057276791
200.5,19.5160617054
201,19.5204903794
201.5,19.527871244
202,19.524918937
202.5,19.5293473782
203,19.5293473782
203.5,19.5322996077
204,19.5367278551
204.5,19.5367278551
205,19.5441080094
205.5,19.5470599809
206,19.5514878415
206.5,19.5662465407
207,19.576576866
207.5,19.581003956
208,19.5869065634
208.5,19.5913333847
209,19.5913333847
209.5,19.5928089662
210,19.5928089662
210.5,19.5928089662
211,19.5928089662
211.5,19.5928089662
212,19.5913333847
212.5,19.5913333847
213,19.5928089662
213.5,19.5928089662
214,19.5942845349
214.5,19.5942845349
215,19.5942845349
215.5,19.5957600909
216,19.5972356341
216.5,19.601662187
217,19.6060886251
217.5,19.6046131585
218,19.6134657671
218.5,19.6134657671
219,19.6164165347
219.5,19.6193672515
220,19.6208425907
220.5,19.6267438208
221,19.6326448476
221.5,19.6341200725
222,19.6385456713
222.5,19.6385456713
223,19.6400208456
223.5,19.6400208456
224,19.6547718916
224.5,19.6665718182
225,19.6783709377
225.5,19.694593412
226,19.7108143678
226.5,19.7196615234
227,19.7344057836
227.5,19.7432517415
228,19.7565198387
228.5,19.7609423143
229,19.7668387747
229.5,19.7756830939
230,19.7801050865
230.5,19.7815790593
231,19.7830530197
231.5,19.7904226367
232,19.7948442589
232.5,19.7977919454
233,19.8007395826
233.5,19.8051609461
234,19.8036871706
234.5,19.8066347093
235,19.8095821988
235.5,19.8125296392
236,19.8169507076
236.5,19.8287396836
237,19.8272661045
237.5,19.8287396836
238,19.8375809009
238.5,19.8449482457
239,19.849368506
239.5,19.8508419017
240,19.8537886565
